Variable,Variable Description,Units,Method Name 1,Method Name 2,Trait Ontology Identifier (TO:ID),termId,TO label,Comments/Notes,CO_324 ID,CO_324 label,Comments/Notes,coPermalink
NPQt,"Photosynthesis-related parameter, estimate of non-photochemical quenching",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0020117,http://purl.obolibrary.org/obo/TO_0020117,non photochemical quenching,subclass,n/a,n/a,n/a,n/a
qP,"Photosynthesis-related parameter, a photochemical quenching coefficient",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0020116,http://purl.obolibrary.org/obo/TO_0020116,photochemical quenching,subclass,n/a,n/a,n/a,n/a
RFd,"Chlorophyll fluorescence decrease ratio, photosynthesis parameter described as an index of vitality",ratio,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0020115,http://purl.obolibrary.org/obo/TO_0020115,chlorophyll fluorescence quenching,subclass,n/a,n/a,n/a,n/a
FvP/FmP,Fluorescence parameter associated with Photosystem II operating efficiency,[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0012006,http://purl.obolibrary.org/obo/TO_0012006,fluorescence related trait,subclass,n/a,n/a,n/a,n/a
Phi2,Chlorophyll fluorescence-derived photosynthesis parameter related to quantum yield of Photosystem II,[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0012004,http://purl.obolibrary.org/obo/TO_0012004,quantum yield,subclass,n/a,n/a,n/a,n/a
relative_chlorophyll,"Relative value describing the concentration of chlorophyll in the leaf, ranges from 0 to 80",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0001016,http://purl.obolibrary.org/obo/TO_0001016,relative chlorophyll content,subclass,n/a,n/a,n/a,n/a
FmPrime,Photosynthesis-related parameter describing maximum variable fluorescence at steady-state conditions,[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0012006,http://purl.obolibrary.org/obo/TO_0012006,fluorescence related trait,subclass,n/a,n/a,n/a,n/a
FoPrime,Photosynthesis-related parameter describing minimum variable fluorescence during dark phase after steady-state,[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,TO:0012006,http://purl.obolibrary.org/obo/TO_0012006,fluorescence related trait,subclass,n/a,n/a,n/a,n/a
SPAD_420,"Relative measure of leaf greenness, based on absorbance at 420 nm",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,, TO:0000326,http://purl.obolibrary.org/obo/TO_0000326,leaf color,exact,CO_324:0000055,sorghum leaf color trait,exact,https://www.cropontology.org/terms/CO_324:0000055/Leaf%20color/static-html?language=english
SPAD_530,"Relative measure of leaf greenness, based on absorbance at 530 nm",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,, TO:0000326,http://purl.obolibrary.org/obo/TO_0000326,leaf color,exact,CO_324:0000055,sorghum leaf color trait,exact,https://www.cropontology.org/terms/CO_324:0000055/Leaf%20color/static-html?language=english
SPAD_650,"Relative measure of leaf greenness, based on absorbance at 650 nm",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,, TO:0000326,http://purl.obolibrary.org/obo/TO_0000326,leaf color,exact,CO_324:0000055,sorghum leaf color trait,exact,https://www.cropontology.org/terms/CO_324:0000055/Leaf%20color/static-html?language=english
SPAD_730,"Relative measure of leaf greenness, based on absorbance at 730 nm",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,, TO:0000326,http://purl.obolibrary.org/obo/TO_0000326,leaf color,exact,CO_324:0000055,sorghum leaf color trait,exact,https://www.cropontology.org/terms/CO_324:0000055/Leaf%20color/static-html?language=english
SPAD_850,"Relative measure of leaf greenness, based on absorbance at 850 nm",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,, TO:0000326,http://purl.obolibrary.org/obo/TO_0000326,leaf color,exact,CO_324:0000055,sorghum leaf color trait,exact,https://www.cropontology.org/terms/CO_324:0000055/Leaf%20color/static-html?language=english
SPAD_880,"Relative measure of leaf greenness, based on absorbance at 880 nm",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,, TO:0000326,http://purl.obolibrary.org/obo/TO_0000326,leaf color,exact,CO_324:0000055,sorghum leaf color trait,exact,https://www.cropontology.org/terms/CO_324:0000055/Leaf%20color/static-html?language=english
qL,"Photosynthesis-related parameter, estimate of the fraction of Photosystem II centers that are in open state",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
gH+,Photosynthesis-related parameter describing proton motive force and activity of ATP synthase,[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
ECSt,Electrochromic shift: a photosynthesis-related parameter describing proton motive force,[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
LEF,Linear electronic flux: total flow of electrons from antennae complexes into Photosystem II,µmol electrons m-1 s-1,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
vH+,"Rate of flux describing max rate of protons exiting the ATP synthase, a photosynthesis-related parameter describing proton motive force",[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
absorbance_420,Absorbance at 420 nm,arbitrary absorbance units,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
absorbance_530,Absorbance at 530 nm,arbitrary absorbance units,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
absorbance_605,Absorbance at 605 nm,arbitrary absorbance units,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
absorbance_650,Absorbance at 650 nm,arbitrary absorbance units,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
absorbance_730,Absorbance at 730 nm,arbitrary absorbance units,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
absorbance_850,Absorbance at 850 nm,[dataset uses % for this absorbance value],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
absorbance_880,Absorbance at 880 nm,arbitrary absorbance units,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
absorbance_940,Absorbance at 940 nm,arbitrary absorbance units,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a
,,,,,,,,,,,,
,,,,,,,,,,,,
Not Traits:,,,,,,,,,,,,
roll,The angle that the handheld instrument is held along the long axis.,angle,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,,,,,,,,
leaf_angle_clamp_position,Angle of the leaf at the position where the handheld clamp is placed for measurements,angle,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,,,,,,,,
pitch,The angle that the handheld instrument is held along the short axis,angle,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,,,,,,,,
surface_temperature,Surface temperature,C,Mean temperature from infrared images,,,,,,,,,
soil_moisture,,,,,,,,,,,,
proximal_air_temperature,Air temperature measured by handheld sensor near the leaf surface and proximal to the plant canopy,C,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,,,,,,,,
light_intensity_PAR,Photosynthetically active radiation. Fraction of incoming light (400 - 700 nm) which can be intercepted by leaf.,[missing],MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,,,,,,,,
wind_speed,,,,,,,,,,,,
ambient_humidity,Ambient relative humidity near the plant canopy,%,MultispeQ v1.0 field measurements of fluorescence-based and absorbance-based parameters,,,,,,,,,
precipitation,,,,,,,,,,,,
irrigation,,,,,,,,,,,,
fertilizer input,,,,,,,,,,,,
planter_seed_drop,Number of seeds dropped per planted length of subplot row during planting.,count,Planter seed drop count,,,,,,,,,
stand_count,"Number of plants per subplot or plot, counted after thinning",count,Seedling number - Counting,,,,,,,,,
